时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2024-10-14,7396.0,7480.0,7314.0,7340.0,113887,93197,7426.0,7263.6,7086.7,7706.666666666667,-34.61049048488621,-118.49512260032255,83.88463211543633,62.88659793814433,228.28571428571428,56.50158431223286,159908.9,-1269341,104648.7,-3367.0,-3.486806677436727
2024-10-15,7330.0,7368.0,7134.0,7142.0,112511,100477,7338.0,7276.6,7085.4,7683.833333333333,-42.04202377290039,-103.20450283483812,61.16247906193773,62.08651399491094,225.0,24.332985236316237,156969.7,-1381852,103923.15,7280.0,7.8114102385269835
2024-10-16,7156.0,7178.0,7056.0,7058.0,99974,103224,7263.6,7281.4,7087.8,7661.1,-54.086193456979345,-93.38084095926638,39.294647502287035,54.54545454545455,212.71428571428572,1.092167080761566,154107.75,-1481826,103235.3,2747.0,2.73395901549609
2024-10-17,7058.0,7104.0,6940.0,6940.0,108943,101379,7175.2,7278.6,7098.1,7636.933333333333,-72.3192472726314,-89.16852222193938,16.849274949307983,50.6832298136646,216.0,-20.905426722843174,151186.95,-1590769,101895.35,-1845.0,-1.7873750290630097
2024-10-18,6952.0,7078.0,6950.0,7062.0,79928,99495,7108.4,7273.0,7107.2,7614.733333333334,-76.04805869774373,-86.54442951710026,10.496370819356528,57.26495726495726,215.71428571428572,-17.114131104746708,142441.65,-1510841,101253.4,-1884.0,-1.8583730358358252
2024-10-21,7040.0,7046.0,6932.0,6998.0,78099,101203,7040.0,7233.0,7110.1,7590.833333333333,-83.20826071231477,-85.87719575614317,2.668935043828398,49.53764861294584,207.0,-26.740425514286468,136876.15,-1588940,100820.7,1708.0,1.7166691793557565
2024-10-22,7010.0,7128.0,7008.0,7070.0,96131,103798,7025.6,7181.8,7116.6,7568.6,-82.12627356461599,-85.12701131783774,3.000737753221756,51.89393939393939,201.28571428571428,-11.793892181400825,134604.15,-1492809,100687.4,2595.0,2.5641532365641373
2024-10-23,7080.0,7206.0,7066.0,7102.0,98869,104269,7034.4,7149.0,7133.6,7547.3,-77.78994433420121,-83.65959792111045,5.869653586909237,54.256670902160096,197.28571428571428,-3.013834741338716,133849.5,-1393940,100265.35,471.0,0.45376596851576245
2024-10-24,7080.0,7132.0,7028.0,7082.0,77041,101929,7062.8,7119.0,7141.6,7526.133333333333,-75.10148189630672,-81.9479747161497,6.846492819842979,48.75346260387812,190.0,-16.24906389951712,125920.95,-1470981,99473.9,-2340.0,-2.2441953025347905
2024-10-25,7060.0,7146.0,6976.0,7064.0,122991,105673,7063.2,7085.8,7148.9,7505.066666666667,-73.57517677378291,-80.27341512767634,6.69823835389343,35.87140439932318,171.42857142857142,-23.04800925415199,124965.65,-1593972,98969.95,3744.0,3.6731450323264303
2024-10-28,7090.0,7100.0,6922.0,7016.0,119579,105480,7066.8,7053.4,7158.5,7484.666666666667,-75.36994994817178,-79.29272209177543,3.922772143603652,22.944550669216056,154.57142857142858,-38.9990469636903,123060.75,-1713551,98720.9,-193.0,-0.18263889546052958
2024-10-29,6970.0,6986.0,6800.0,6830.0,135661,114265,7018.8,7022.2,7149.4,7459.9,-90.75480129621883,-81.58513793266411,-9.169663363554719,22.222222222222214,156.71428571428572,-72.03666931192949,121443.9,-1849212,98997.35,8785.0,8.328593098217674
2024-10-30,6876.0,6906.0,6772.0,6842.0,103804,118980,6966.8,7000.6,7141.0,7435.766666666666,-100.81695205270898,-85.43150075667309,-15.385451296035896,24.13793103448276,154.28571428571428,-72.80014130023012,118072.75,-1745408,99659.15,4715.0,4.126372905089037
2024-10-31,6862.0,6910.0,6826.0,6882.0,67302,116897,6926.8,6994.8,7136.7,7413.866666666667,-104.36060917471423,-89.21732244028132,-15.143286734432905,25.981308411214954,150.71428571428572,-62.56558272686787,112344.0,-1678106,100549.4,-2083.0,-1.750714405782483
2024-11-01,6886.0,6982.0,6862.0,6902.0,92809,113179,6894.4,6978.8,7125.9,7390.233333333334,-104.35224242785625,-92.24430643779633,-12.107935990059929,28.820116054158618,147.42857142857142,-49.70404263504149,109707.5,-1585297,101452.85,-3718.0,-3.180577773595561
2024-11-04,6910.0,6938.0,6850.0,6914.0,68302,112246,6874.0,6970.4,7101.7,7365.833333333333,-102.19922298313304,-94.23528974686367,-7.963933236269369,36.556603773584904,137.0,-47.933354869900114,104753.25,-1516995,102765.6,-933.0,-0.8243578755776193
